scope	order	key	value	
calculateAllT_gui	16	strBtnCalculateActive	Processing...	
calculateAT_gui	1	strWinTitle	Calculate analytical threshold	
calculateAT_gui	2	strChkGui	Save GUI settings	
calculateAT_gui	3	strBtnHelp	Help	
calculateAT_gui	4	strFrmDataset	Datasets	
calculateAT_gui	5	strLblDataset	Sample dataset:	
calculateAT_gui	6	strDrpDefault	<Select dataset>	
calculateAT_gui	7	strLblSamples	samples	
calculateAT_gui	8	strLblDatasetRef	Reference dataset:	
calculateAT_gui	9	strLblRef	references	
calculateAT_gui	10	strBtnCheck	Check subsetting	
calculateAT_gui	11	strLblKit	Kit:	
calculateAT_gui	12	strTipKit	Only used to shade masked ranges in plot.	
calculateAT_gui	13	strFrmOptions	Options	
calculateAT_gui	14	strChkIgnore	Ignore case	
calculateAT_gui	15	strChkWord	Add word boundaries	
calculateAT_gui	16	strChkMaskHigh	Mask high peaks	
calculateAT_gui	17	strLblMaskHigh	Mask all peaks above (RFU): 	
calculateAT_gui	18	strChkMaskAllele	Mask sample alleles	
calculateAT_gui	19	strLblDpAllele	Range (data points) around known alleles:	
calculateAT_gui	20	strChkMaskDye	Mask sample alleles per dye channel	
calculateAT_gui	21	strChkILS	Mask ILS peaks	
calculateAT_gui	22	strLblDpPeak	Range (data points) around known peak: 	
calculateAT_gui	23	strLblConf	Confidence level 'k' (AT1, AT7): 	
calculateAT_gui	24	strLblRank	Percentile rank threshold (AT2): 	
calculateAT_gui	25	strLblAlpha	Upper confidence 'alpha' (AT4): 	
calculateAT_gui	26	strFrmPrepare	Prepare data and check masking	
calculateAT_gui	27	strBtnMask	Prepare and mask	
calculateAT_gui	28	strDrpDefault2	<Select sample>	
calculateAT_gui	29	strBtnSave	Save plot	
calculateAT_gui	30	strFrmSave	Save as	
calculateAT_gui	31	strLblSave	Name for result:	
calculateAT_gui	32	strLblSaveRank	Name for percentile rank list:	
calculateAT_gui	33	strLblSaveMasked	Name for masked raw data:	
calculateAT_gui	34	strBtnCalculate	Calculate	
calculateAT_gui	35	strBtnProcessing	Processing...	
calculateAT_gui	36	strWinCheck	Check subsetting	
calculateAT_gui	37	strMsgPlot	Click 'Prepare and mask' and select a sample before saving.	
calculateAT_gui	38	strMsgTitlePlot	No plot!	
calculateAT_gui	39	strMsgTitleError	Error	
calculateAT_gui	40	strMsgCheck	Data frame is NULL!\n\nMake sure to select a dataset and a reference set	
calculateAT_gui	41	strMsgDataset	A dataset and a reference dataset must be selected.	
calculateAT_gui	42	strMsgTitleDataset	Datasets not selected	
calculateAT6_gui	1	strWinTitle	Calculate analytical threshold	
calculateAT6_gui	2	strChkGui	Save GUI settings	
calculateAT6_gui	3	strBtnHelp	Help	
calculateAT6_gui	4	strFrmDataset	Datasets	
calculateAT6_gui	5	strLblDataset	Sample dataset:	
calculateAT6_gui	6	strDrpDefault	<Select dataset>	
calculateAT6_gui	7	strLblSamples	samples	
calculateAT6_gui	8	strLblDatasetRef	Reference dataset:	
calculateAT6_gui	9	strLblRef	references	
calculateAT6_gui	10	strBtnCheck	Check subsetting	
calculateAT6_gui	11	strLblAmount	Amount dataset:	
calculateAT6_gui	12	strFrmOptions	Options	
calculateAT6_gui	13	strLblText1	NB! This is an indirect method not recommended.	
calculateAT6_gui	14	strLblText2	See 'Help' or reference for limitations.	
calculateAT6_gui	15	strChkIgnore	Ignore case	
calculateAT6_gui	16	strRadItem1	Linear regression	
calculateAT6_gui	17	strRadItem2	Weighted linear regression	
calculateAT6_gui	18	strLblLevel	Significance level:	
calculateAT6_gui	19	strFrmSave	Save as	
calculateAT6_gui	20	strLblSave	Name for result:	
calculateAT6_gui	21	strBtnCalculate	Calculate	
calculateAT6_gui	22	strBtnCalculateActive	Processing...	
calculateAT6_gui	23	strWinCheck	Check subsetting	
calculateAT6_gui	24	strMsgTitleError	Error	
calculateAT6_gui	25	strMsgCheck	Data frame is NULL!\n\nMake sure to select a dataset and a reference set	
calculateAT6_gui	26	strMsgDataset	A dataset and a reference dataset must be selected.	
calculateAT6_gui	27	strMsgTitleDataset	Datasets not selected	
calculateCapillary_gui	1	strWinTitle	Calculate capillary balance	
calculateCapillary_gui	2	strChkGui	Save GUI settings	
calculateCapillary_gui	3	strBtnHelp	Help	
calculateCapillary_gui	4	strFrmDataset	Dataset	
calculateCapillary_gui	5	strLblDataSample	Samples Table:	
calculateCapillary_gui	6	strDrpDefault	<Select dataset>	
calculateCapillary_gui	7	strLblSamples	samples	
calculateCapillary_gui	8	strLblDataSizing	Sample Plot Sizing Table:	
calculateCapillary_gui	9	strLblSampleFiles	sample files	
calculateCapillary_gui	10	strFrmOptions	Options	
calculateCapillary_gui	11	strLblRun	Run name:	
calculateCapillary_gui	12	strLblRunMsg	Optional run name	
calculateCapillary_gui	13	strLblThreshold	Sizing quality threshold:	
calculateCapillary_gui	14	strFrmSave	Save as	
calculateCapillary_gui	15	strLblSave	Name for result:	
calculateCapillary_gui	16	strBtnCalculate	Calculate	
calculateCapillary_gui	17	strMsgDataset	A 'Samples Table' dataset and a 'SamplePlotSizing' dataset have to be selected.	
calculateCapillary_gui	18	strMsgTitleDataset	Datasets not selected	
calculateConcordance_gui	1	strWinTitle	Calculate concordance	
calculateConcordance_gui	2	strChkGui	Save GUI settings	
calculateConcordance_gui	3	strBtnHelp	Help	
calculateConcordance_gui	4	strFrmDataset	Dataset and kit	
calculateConcordance_gui	5	strLblDataset	Sample dataset:	
calculateConcordance_gui	6	strDrpDefault	<Select dataset>	
calculateConcordance_gui	7	strLblSamples	samples	
calculateConcordance_gui	8	strLblKit	Kit:	
calculateConcordance_gui	9	strBtnAdd	Add	
calculateConcordance_gui	10	strFrmOptions	Options	
calculateConcordance_gui	11	strLblDelimiter	Delimiter for alleles in genotype:	
calculateConcordance_gui	12	strLblNoSample	String for missing samples:	
calculateConcordance_gui	13	strLblNoMarker	String for missing markers:	
calculateConcordance_gui	14	strChkInclude	Include missing samples in result.	
calculateConcordance_gui	15	strTipInclude	Samples not in all datasets will always be included in the result.	
calculateConcordance_gui	16	strFrmSelected	Selected datasets	
calculateConcordance_gui	17	strLblSelected	Name for datasets to analyse (separated by comma):	
calculateConcordance_gui	18	strLblUsedKits	Name for analysis kit (separated by comma):	
calculateConcordance_gui	19	strFrmSave	Save as	
calculateConcordance_gui	20	strLblSave	Name for discordance table:	
calculateConcordance_gui	21	strLblSave2	Name for concordance table:	
calculateConcordance_gui	22	strBtnCalculate	Calculate	
calculateConcordance_gui	23	strBtnProcessing	Processing...	
calculateConcordance_gui	24	strMsgAddMessage	Data frame is NULL!\n\nMake sure to select a dataset	
calculateConcordance_gui	25	strMsgTitleError	Error	
calculateConcordance_gui	26	strMsgDataset	A dataset must be selected.	
calculateConcordance_gui	27	strMsgTitleDataset	Datasets not selected	
calculateCopies_gui	1	strWinTitle	Calculate allele copies	
calculateCopies_gui	2	strChkGui	Save GUI settings	
calculateCopies_gui	3	strBtnHelp	Help	
calculateCopies_gui	4	strFrmDataset	Dataset	
calculateCopies_gui	5	strLblDataset	Sample dataset:	
calculateCopies_gui	6	strDrpDefault	<Select dataset>	
calculateCopies_gui	7	strLblSamples	samples	
calculateCopies_gui	8	strFrmOptions	Options	
calculateCopies_gui	9	strChkObserved	Add number of unique alleles (count number of peaks)	
calculateCopies_gui	10	strChkCopies	Add number of allele copies (for known complete profiles)	
calculateCopies_gui	11	strTipCopies	'1' for heterozygotes and '2' for homozygotes.	
calculateCopies_gui	12	strChkHeterozygosity	Add heterozygote indicator (for known complete profiles)	
calculateCopies_gui	13	strTipHeterozygosity	'1' for heterozygous loci and '0' for homozygous loci.	
calculateCopies_gui	14	strFrmSave	Save as	
calculateCopies_gui	15	strLblSave	Name for result:	
calculateCopies_gui	16	strBtnCalculate	Calculate	
calculateCopies_gui	17	strBtnProcessing	Processing...	
calculateCopies_gui	18	strMsgDataset	A dataset has to be selected.	
calculateCopies_gui	19	strMsgTitleDataset	Dataset not selected	
calculateDropout_gui	1	strWinTitle	Calculate dropout	
calculateDropout_gui	2	strChkGui	Save GUI settings	
calculateDropout_gui	3	strBtnHelp	Help	
calculateDropout_gui	4	strFrmDataset	Dataset and kit	
calculateDropout_gui	5	strLblDataset	Sample dataset:	
calculateDropout_gui	6	strDrpDefault	<Select dataset>	
calculateDropout_gui	7	strLblSamples	samples	
calculateDropout_gui	8	strLblRefDataset	Reference dataset:	
calculateDropout_gui	9	strLblRef	references	
calculateDropout_gui	10	strBtnCheck	Check subsetting	
calculateDropout_gui	11	strLblKit	Kit:	
calculateDropout_gui	12	strFrmOptions	Options	
calculateDropout_gui	13	strChkIgnore	Ignore case	
calculateDropout_gui	14	strChkSex	Remove sex markers	
calculateDropout_gui	15	strChkSensors	Remove quality sensors	
calculateDropout_gui	16	strChkAverage	Calculate average peak height	
calculateDropout_gui	17	strLblAt	Analytical threshold (AT):	
calculateDropout_gui	18	strLblMethods	Select one or more dropout scoring methods:	
calculateDropout_gui	19	strChkMethod1	Score dropout relative to the low molecular weight allele	
calculateDropout_gui	20	strChkMethod2	Score dropout relative to the high molecular weight allele	
calculateDropout_gui	21	strChkMethodX	Score dropout relative to a random allele	
calculateDropout_gui	22	strChkMethodL	Score dropout per locus	
calculateDropout_gui	23	strFrmSave	Save as	
calculateDropout_gui	24	strLblSave	Name for result:	
calculateDropout_gui	25	strBtnCalculate	Calculate	
calculateDropout_gui	26	strBtnProcessing	Processing...	
calculateDropout_gui	27	strMsgDataset	A sample dataset and a reference dataset must be selected.	
calculateDropout_gui	28	strMsgTitleDataset	Dataset not selected	
calculateDropout_gui	29	strMsgCheck	Data frame is NULL!\n\nMake sure to select a sample dataset and a reference dataset.	
calculateDropout_gui	30	strMsgTitleError	Error	
calculateHb_gui	1	strWinTitle	Calculate heterozygote balance	
calculateHb_gui	2	strChkGui	Save GUI settings	
calculateHb_gui	3	strBtnHelp	Help	
calculateHb_gui	4	strFrmDataset	Datasets	
calculateHb_gui	5	strLblDataset	Sample dataset:	
calculateHb_gui	6	strDrpDefault	<Select dataset>	
calculateHb_gui	7	strLblSamples	samples	
calculateHb_gui	8	strLblRefDataset	Reference dataset:	
calculateHb_gui	9	strLblRef	references	
calculateHb_gui	10	strBtnCheck	Check subsetting	
calculateHb_gui	11	strFrmOptions	Options	
calculateHb_gui	12	strLblPre	Pre-processing:	
calculateHb_gui	13	strChkSex	Remove sex markers	
calculateHb_gui	14	strChkSensors	Remove quality sensors	
calculateHb_gui	15	strLblHb	Define Hb as:	
calculateHb_gui	16	strItemHMWoLMW	High molecular weight / low molecular weight	
calculateHb_gui	17	strItemLMWoHMW	Low molecular weight / high molecular weight	
calculateHb_gui	18	strItemSmloLrg	Smaller peak / larger peak	
calculateHb_gui	19	strLblMatching	Sample name matching:	
calculateHb_gui	20	strChkIgnore	Ignore case	
calculateHb_gui	21	strChkWord	Add word boundaries	
calculateHb_gui	22	strChkExact	Exact matching	
calculateHb_gui	23	strLblPost	Post-processing:	
calculateHb_gui	24	strChkAverage	Calculate average peak height	
calculateHb_gui	25	strFrmSave	Save as	
calculateHb_gui	26	strLblSave	Name for result:	
calculateHb_gui	27	strLblKit	Kit attribute:	
calculateHb_gui	28	strBtnCalculate	Calculate	
calculateHb_gui	29	strBtnProcessing	Processing...	
calculateHb_gui	30	strMsgDataset	A sample dataset and a reference dataset must be selected.	
calculateHb_gui	31	strMsgTitleDataset	Dataset not selected	
calculateHb_gui	32	strMsgCheck	Data frame is NULL!\n\nMake sure to select a sample dataset and a reference dataset.	
calculateHb_gui	33	strWinTitleCheck	Check subsetting	
calculateHb_gui	34	strMsgTitleError	Error	
calculateHeight_gui	1	strWinTitle	Calculate peak height	
calculateHeight_gui	2	strChkGui	Save GUI settings	
calculateHeight_gui	3	strBtnHelp	Help	
calculateHeight_gui	4	strFrmDataset	Datasets	
calculateHeight_gui	5	strLblDataset	Sample dataset:	
calculateHeight_gui	6	strDrpDefault	<Select dataset>	
calculateHeight_gui	7	strLblSamples	samples	
calculateHeight_gui	8	strLblRefDataset	Reference dataset:	
calculateHeight_gui	9	strLblRef	references	
calculateHeight_gui	10	strBtnCheck	Check subsetting	
calculateHeight_gui	11	strLblKit	Kit:	
calculateHeight_gui	12	strFrmOptions	Options	
calculateHeight_gui	13	strLblPre	Pre-processing:	
calculateHeight_gui	14	strChkSex	Remove sex markers	
calculateHeight_gui	15	strChkSensors	Remove quality sensors	
calculateHeight_gui	16	strChkExclude	Exclude values in 'Allele' column	
calculateHeight_gui	17	strChkExcludeInfo	Case sensitive values separated by comma:	
calculateHeight_gui	18	strLblMatching	Reference sample name matching:	
calculateHeight_gui	19	strChkIgnore	Ignore case	
calculateHeight_gui	20	strChkExact	Exact matching	
calculateHeight_gui	21	strLblPost	Post-processing:	
calculateHeight_gui	22	strChkReplace	Replace NA in the result with 0	
calculateHeight_gui	23	strChkAdd	Add result to dataset	
calculateHeight_gui	24	strFrmSave	Save as	
calculateHeight_gui	25	strLblSave	Name for result:	
calculateHeight_gui	26	strBtnCalculate	Calculate	
calculateHeight_gui	27	strBtnProcessing	Processing...	
calculateHeight_gui	28	strMsgMessage	A sample dataset and a reference dataset must be selected.	
calculateHeight_gui	29	strMsgTitle	Dataset not selected	
calculateHeight_gui	30	strMsgCheck	Data frame is NULL!\n\nMake sure to select a sample dataset and a reference dataset.	
calculateHeight_gui	31	strWinTitleCheck	Check subsetting	
calculateHeight_gui	32	strMsgTitleError	Error	
calculateLb_gui	1	strWinTitle	Calculate locus balance	
calculateLb_gui	2	strChkGui	Save GUI settings	
calculateLb_gui	3	strBtnHelp	Help	
calculateLb_gui	4	strFrmDataset	Datasets	
calculateLb_gui	5	strLblDataset	Sample dataset:	
calculateLb_gui	6	strDrpDefault	<Select dataset>	
calculateLb_gui	7	strLblSamples	samples	
calculateLb_gui	8	strLblRefDataset	Reference dataset:	
calculateLb_gui	9	strTipRef	If provided, known alleles will be extracted from data	
calculateLb_gui	10	strLblRef	references	
calculateLb_gui	11	strBtnCheck	Check subsetting	
calculateLb_gui	12	strLblKit	Kit:	
calculateLb_gui	13	strFrmOptions	Options	
calculateLb_gui	14	strLblPre	Pre-processing:	
calculateLb_gui	15	strChkOL	Remove off-ladder alleles	
calculateLb_gui	16	strChkSex	Remove sex markers	
calculateLb_gui	17	strChkSensors	Remove quality sensors	
calculateLb_gui	18	strLblMissing	Replace missing data with peak height:	
calculateLb_gui	19	strLblMethod	Calculate locus balance:	
calculateLb_gui	20	strRadProp	Proportional	
calculateLb_gui	21	strRadNorm	Normalised	
calculateLb_gui	22	strRadCent	Centred Quantities	
calculateLb_gui	23	strRadRatio	Peak Ratio	
calculateLb_gui	24	strChkDye	Calculate Lb by dye channel	
calculateLb_gui	25	strLblMatching	Reference sample name matching:	
calculateLb_gui	26	strChkIgnore	Ignore case	
calculateLb_gui	27	strChkWord	Add word boundaries	
calculateLb_gui	28	strChkExact	Exact matching	
calculateLb_gui	29	strLblPost	Post-processing:	
calculateLb_gui	30	strChkAverage	Calculate average peak height	
calculateLb_gui	31	strFrmSave	Save as	
calculateLb_gui	32	strLblSave	Name for result:	
calculateLb_gui	33	strBtnCalculate	Calculate	
calculateLb_gui	34	strBtnProcessing	Processing...	
calculateLb_gui	35	strMsgDataset	A sample dataset and a reference dataset must be selected.	
calculateLb_gui	36	strMsgTitleDataset	Dataset not selected	
calculateLb_gui	37	strMsgCheck	Data frame is NULL!\n\nMake sure to select a sample dataset.	
calculateLb_gui	38	strWinTitleCheck	Check subsetting	
calculateLb_gui	39	strMsgTitleError	Error	
calculateLb_gui	40	strMsgNA	'NA' in 'Dye' column. \nUse add dye function to fix.	
calculateLb_gui	41	strMsgTitleNA	NA detected!	
calculateMixture_gui	1	strWinTitle	Calculate Mixture	
calculateMixture_gui	2	strChkGui	Save GUI settings	
calculateMixture_gui	3	strBtnHelp	Help	
calculateMixture_gui	4	strFrmDataset	Datasets	
calculateMixture_gui	5	strLblDataset	Sample dataset:	
calculateMixture_gui	6	strDrpDefault	<Select dataset>	
calculateMixture_gui	7	strLblSamples	samples	
calculateMixture_gui	8	strLblRefMajor	Reference dataset (major):	
calculateMixture_gui	9	strLblRefMinor	Reference dataset (minor):	
calculateMixture_gui	10	strLblRef	references	
calculateMixture_gui	11	strBtnCheck	Check subsetting	
calculateMixture_gui	12	strFrmOptions	Options	
calculateMixture_gui	13	strChkOL	Remove off-ladder alleles (affects number of drop-in)	
calculateMixture_gui	14	strChkDrop	Ignore drop-out (calculate Mx anyway)	
calculateMixture_gui	15	strFrmSave	Save as	
calculateMixture_gui	16	strLblSave	Name for result:	
calculateMixture_gui	17	strBtnCalculate	Calculate	
calculateMixture_gui	18	strBtnProcessing	Processing...	
calculateMixture_gui	19	strMsgDataset	A sample dataset and two reference datasets must be selected.	
calculateMixture_gui	20	strMsgTitleDataset	Dataset not selected	
calculateMixture_gui	21	strMsgCheck	Data frame is NULL!\n\nMake sure to select a sample dataset.	
calculateMixture_gui	22	strWinTitleCheck	Check subsetting	
calculateMixture_gui	23	strMsgTitleError	Error	
calculateOL_gui	1	strWinTitle	Analyse off-ladder alleles	
calculateOL_gui	2	strChkGui	Save GUI settings	
calculateOL_gui	3	strBtnHelp	Help	
calculateOL_gui	4	strFrmKits	Select kits	
calculateOL_gui	5	strFrmOptions	Options	
calculateOL_gui	6	strLblDatabase	Select allele frequency database:	
calculateOL_gui	7	strChkVirtual	Include virtual bins in analysis	
calculateOL_gui	8	strTipVirtual	NB! Not all vendors specify which alleles are virtual in the bins file. This can be done manually in the kit.txt file.	
calculateOL_gui	9	strChkLowFreq	Limit small frequencies to 5/2N	
calculateOL_gui	10	strFrmSave	Save as	
calculateOL_gui	11	strLblSave	Name for result:	
calculateOL_gui	12	strBtnCalculate	Calculate	
calculateOL_gui	13	strBtnProcessing	Processing...	
calculateOL_gui	14	strMsgKit	At least one kit has to be selected.	
calculateOL_gui	15	strMsgTitleKit	No kit selected	
calculateOverlap_gui	1	strWinTitle	Analyse bins overlap	
calculateOverlap_gui	2	strChkGui	Save GUI settings	
calculateOverlap_gui	3	strBtnHelp	Help	
calculateOverlap_gui	4	strFrmKits	Select kits	
calculateOverlap_gui	5	strFrmOptions	Options	
calculateOverlap_gui	6	strChkMultiply	Multiply overlap with allele frequency	
calculateOverlap_gui	7	strChkVirtual	Include virtual bins in analysis	
calculateOverlap_gui	8	strTipVirtual	NB! Not all vendors specify which alleles are virtual in the bins file. This can be done manually in the kit.txt file.	
calculateOverlap_gui	9	strChkPenalty	Apply spectral channel penalty	
calculateOverlap_gui	10	strFrmPenalty	Penalty	
calculateOverlap_gui	11	strLblPenalty	Define penalty by the distance between dye channels  (1st neighbor to 5th neighbor)	
calculateOverlap_gui	12	strFrmSave	Save as	
calculateOverlap_gui	13	strLblSave	Name for result:	
calculateOverlap_gui	14	strBtnCalculate	Calculate	
calculateOverlap_gui	15	strBtnProcessing	Processing...	
calculateOverlap_gui	16	strMsgColor	Kit color set must be identical for multiple kit comparison!\nAnalyse one kit at a time!	
calculateOverlap_gui	17	strMsgKit	At least one kit must be selected.	
calculateOverlap_gui	18	strMsgTitleKit	No kit selected	
calculateOverlap_gui	19	strMsgTitleError	Error	
calculatePeaks_gui	1	strWinTitle	Calculate peaks	
calculatePeaks_gui	2	strChkGui	Save GUI settings	
calculatePeaks_gui	3	strBtnHelp	Help	
calculatePeaks_gui	4	strFrmDataset	Dataset	
calculatePeaks_gui	5	strLblDataset	Sample dataset:	
calculatePeaks_gui	6	strDrpDefault	<Select dataset>	
calculatePeaks_gui	7	strLblSamples	samples	
calculatePeaks_gui	8	strFrmOptions	Options	
calculatePeaks_gui	9	strChkExcludeOL	Exclude off-ladder peaks (OL alleles).	
calculatePeaks_gui	10	strRadBySample	Count peaks by sample	
calculatePeaks_gui	11	strRadByMarker	Count peaks by marker	
calculatePeaks_gui	12	strLblGroups	Define group labels (separated by comma):	
calculatePeaks_gui	13	strTipGroups	Number labels must be one more than the number of cut-off points. The last group is defined by > than the last cut-off point.	
calculatePeaks_gui	14	strLblCutOff	Define cut-off points (<=) for the groups (separated by comma):	
calculatePeaks_gui	15	strTipCutOff	Number of cut-off points must be one less than the number of group labels. The last group is defined by > than the last cut-off point.	
calculatePeaks_gui	16	strFrmSave	Save as	
calculatePeaks_gui	17	strLblSave	Name for result:	
calculatePeaks_gui	18	strBtnCalculate	Calculate	
calculatePeaks_gui	19	strBtnProcessing	Processing...	
calculatePeaks_gui	20	strMsgDataset	A sample dataset must be selected.	
calculatePeaks_gui	21	strMsgTitleDataset	Dataset not selected	
calculatePullup_gui	1	strWinTitle	Calculate spectral pull-up	
calculatePullup_gui	2	strChkGui	Save GUI settings	
calculatePullup_gui	3	strBtnHelp	Help	
calculatePullup_gui	4	strFrmDataset	Datasets	
calculatePullup_gui	5	strLblDataset	Sample dataset:	
calculatePullup_gui	6	strDrpDefault	<Select dataset>	
calculatePullup_gui	7	strLblSamples	samples	
calculatePullup_gui	8	strLblRefDataset	Reference dataset:	
calculatePullup_gui	9	strLblRef	references	
calculatePullup_gui	10	strBtnCheck	Check subsetting	
calculatePullup_gui	11	strFrmOptions	Options	
calculatePullup_gui	12	strLblPre	Pre-processing:	
calculatePullup_gui	13	strChkOL	Remove off-ladder peaks	
calculatePullup_gui	14	strLblMethod	Pull-up settings:	
calculatePullup_gui	15	strLblRange	Pull-up analysis range (data points) around known alleles:	
calculatePullup_gui	16	strLblBlock	Blocking range (data points) around known alleles:	
calculatePullup_gui	17	strLblDiscard	Discard pull-ups with ratio >	
calculatePullup_gui	18	strLblMatching	Reference sample name matching:	
calculatePullup_gui	19	strChkIgnore	Ignore case	
calculatePullup_gui	20	strChkWord	Add word boundaries	
calculatePullup_gui	21	strLblPost	Post-processing:	
calculatePullup_gui	22	strChkDiscard	Discard alleles with no pull-up from the result table	
calculatePullup_gui	23	strFrmSave	Save as	
calculatePullup_gui	24	strLblSave	Name for result:	
calculatePullup_gui	25	strLblKit	Kit attribute:	
calculatePullup_gui	26	strBtnCalculate	Calculate	
calculatePullup_gui	27	strBtnProcessing	Processing...	
calculatePullup_gui	28	strMsgDataset	A sample dataset and a reference dataset must be selected.	
calculatePullup_gui	29	strMsgTitleDataset	Dataset not selected	
calculatePullup_gui	30	strMsgCheck	Data frame is NULL!\n\nMake sure to select a sample dataset.	
calculatePullup_gui	31	strWinTitleCheck	Check subsetting	
calculatePullup_gui	32	strMsgTitleError	Error	
calculatePullup_gui	33	strMsgNA	'NA' in 'Dye' column. \nUse add dye function to fix.	
calculatePullup_gui	34	strMsgTitleNA	NA detected!	
calculateRatio_gui	1	strWinTitle	Calculate ratio	
calculateRatio_gui	2	strChkGui	Save GUI settings	
calculateRatio_gui	3	strBtnHelp	Help	
calculateRatio_gui	4	strFrmDataset	Datasets	
